"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"96.0","interacts with","property(X,location,inpatient) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,location,inpatient) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"91.0","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"89.0","interacts with","property(buprenorphine_naloxone,duration,n13_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(buprenorphine_naloxone,duration,n13_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"91.0","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","receive(X,buprenorphine_naloxone) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"85.0","interacts with","property(buprenophine_naloxone,duration,n13_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(buprenophine_naloxone,duration,n13_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"0.0","interacts with","property(X,urine_sample,opioids,negative,just_after_treatment) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,urine_sample,opioids,negative,just_after_treatment) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"81.0","interacts with","receive(X,clonidine) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","receive(X,clonidine) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"79.0","interacts with","property(clonidine,duration,n13_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(clonidine,duration,n13_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"96.0","interacts with","property(X,location,inpatient) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,location,inpatient) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
